"2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019"
"0to5" 46 49 49 42 46 56 40 53 46 71
"5to10" 182 221 203 215 210 221 222 187 252 203
"10to15" 282 231 300 297 286 244 249 238 298 334
"15to20" 187 173 219 271 215 247 204 193 238 214
"20to25" 131 181 107 125 107 117 132 121 116 126
"25to30" 67 72 70 70 70 73 70 79 56 66
"30to35" 35 22 26 29 44 24 37 27 24 33
"35to40" 9 5 8 11 11 11 18 18 12 9
"40to45" 10 7 4 2 3 3 4 8 4 4
"45to50" 1 2 2 4 4 1 1 1 1 2
"50to55" 0 1 2 0 0 0 0 0 0 0
"55to60" 0 0 0 0 0 0 0 0 0 0
"60to65" 0 0 0 0 0 1 0 0 0 0
"65to70" 0 0 0 0 0 0 0 0 0 0
"70to75" 0 0 0 0 0 0 0 0 0 0
"75to80" 0 0 0 0 0 0 0 0 0 0
"80+" 0 0 0 0 0 0 0 0 0 0
