"2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019"
"0to5" 71251 71467 71227 70516 71306 70768 71292 70665 70510 71479
"5to10" 70896 71588 70891 71852 71703 70705 71902 70794 70184 71800
"10to15" 70567 71760 70615 71559 70993 70714 71310 70817 70459 70536
"15to20" 72556 71591 70708 72657 71423 71736 70669 70990 71791 71133
"20to25" 71732 71402 70883 71891 71524 70841 70370 71479 71656 71519
"25to30" 70646 71646 70574 71628 70548 70176 69847 71038 71130 70068
"30to35" 70569 70314 71698 71274 71097 70767 71688 70804 71805 71509
"35to40" 72196 71227 71119 72292 70287 72455 72588 71413 70681 72163
"40to45" 71748 72506 72056 72146 71203 71639 71453 69273 70807 70564
"45to50" 70364 71434 71267 71099 71100 70045 71787 70342 70556 71270
"50to55" 70479 70091 70176 69464 70914 70923 72466 71297 70551 71310
"55to60" 68879 69136 69553 68444 70237 69192 69761 69051 70061 70515
"60to65" 62187 62864 61834 61331 63335 62341 61840 62074 62499 62415
"65to70" 45707 45467 45952 45588 45646 45583 46649 45457 45510 46212
"70to75" 25642 26136 26194 26054 25882 25539 25406 25899 25832 26017
"75to80" 11008 10940 10889 11003 11118 11022 11069 11160 11211 11153
"80+" 3527 3589 3549 3518 3535 3633 3553 3535 3550 3550
